UniqueID;fundamental_advice;fund_advice_nrscore;uncle_stock_score;growth_score;value_score;greenblatt_score;piotroski_score;levermann_score;predictability_score;price_iv_buffett;iv_price_buf;rev_price;PL12M
178;4;4;0,75;0,62;0,64;0,98;6,42;5,59;0,78;1,28;1,28;0,9628;0,3926
179;3;3;0,74;0,87;0,55;0,35;7,49;4,68;0,75;4,17;4,17;3,62;-0,4089
180;3;3;0,67;0,58;0,54;0,33;9,53;2,65;0,28;2,83;2,83;4,21;0,149
181;3;3;0,64;0,58;0,51;0,66;7,45;-3,5;0,32;2,99;2,99;0,9918;0,3155
182;5;5;0,78;0,63;0,67;0,62;6,41;1,63;0,36;0,28;0,28;5,5;0,0688
183;5;5;0,8;0,58;0,81;1,58;8,52;6,66;0,53;0,62;0,62;0,8193;0,0481
184;5;5;0,85;0,72;0,81;1,73;7,54;3,58;0,58;1,03;1,03;2,97;0,4901
185;2;2;0,5;0,45;0,46;0,34;9,51;-3,59;0,5;5,49;5,49;2,79;0,3444
186;4;4;0,84;0,6;0,6;0,48;5,43;1,54;0,65;0,54;0,54;0,7223;-0,3503
187;2;2;0,59;0,62;0,5;0,32;9,56;-1,66;0,73;6,6;6,6;0,2577;0,5117
188;4;4;0,76;0,65;0,64;0,9;9,51;2,56;0,67;2,05;2,05;2,18;0,0367
189;3;3;0,72;0,52;0,52;0,38;9,51;-1,64;0,58;1,38;1,38;1,6;0,5831
190;4;4;0,72;0,66;0,57;1,32;9,56;1,74;0,72;4,62;4,62;0,2156;-0,0346
191;4;4;0,73;0,58;0,65;0,66;7,48;8,64;0,75;1,51;1,51;1,56;-0,2378
192;3;3;0,69;0,59;0,55;0,48;9,47;2,57;0,75;1,08;1,08;2,48;0,3134
193;2;2;0,53;0,44;0,55;0,24;9,55;-1,59;0,69;0,67;0,67;10,22;0,0938
194;4;4;0,66;0,59;0,5;0,28;9,49;2,59;0,73;3,7;3,7;1,06;0,1457
195;4;4;0,73;0,65;0,61;0,69;9,48;-1,57;0,71;1,43;1,43;2,11;0,1881
